Year,County,Median Household Income,Median Household Income in Dollars LB 90%,Median Household Income in Dollars UB 90%,90% Confidence Interval
2013,Napa County,68619,"$65,099 ","$72,139 ","$65,099 to $72,139"
2012,Napa County,65698,"$61,873 ","$69,523 ","$61,873 to $69,523"
2011,Napa County,61179,"$57,847 ","$64,511 ","$57,847 to $64,511"
2010,Napa County,62893,"$59,417 ","$66,369 ","$59,417 to $66,369"
2009,Napa County,66970,"$63,735 ","$70,205 ","$63,735 to $70,205"
2008,Napa County,64829,"$61,343 ","$68,315 ","$61,343 to $68,315"
2007,Napa County,61988,"$58,994 ","$64,981 ","$58,994 to $64,981"
2006,Napa County,63586,"$59,804 ","$67,369 ","$59,804 to $67,369"
2017,San Francisco County,109601,"$107,133 ","$112,069 ","$107,133 to $112,069"
2016,San Francisco County,101873,"$99,100 ","$104,646 ","$99,100 to $104,646"
2015,San Francisco County,90527,"$87,785 ","$93,269 ","$87,785 to $93,269"
2014,San Francisco County,83788,"$81,114 ","$86,462 ","$81,114 to $86,462"
2013,San Francisco County,76933,"$74,905 ","$78,961 ","$74,905 to $78,961"
2012,San Francisco County,72093,"$69,553 ","$74,633 ","$69,553 to $74,633"
2011,San Francisco County,69354,"$67,027 ","$71,681 ","$67,027 to $71,681"
2010,San Francisco County,70883,"$68,656 ","$73,110 ","$68,656 to $73,110"
2009,San Francisco County,70247,"$68,152 ","$72,342 ","$68,152 to $72,342"
2008,San Francisco County,73127,"$70,820 ","$75,435 ","$70,820 to $75,435"
2007,San Francisco County,67333,"$64,398 ","$70,268 ","$64,398 to $70,268"
2006,San Francisco County,64648,"$62,103 ","$67,193 ","$62,103 to $67,193"
2017,San Mateo County,115908,"$112,815 ","$119,001 ","$112,815 to $119,001"
2016,San Mateo County,107075,"$102,754 ","$111,396 ","$102,754 to $111,396"
2015,San Mateo County,101133,"$99,852 ","$102,414 ","$99,852 to $102,414"
2014,San Mateo County,100806,"$99,503 ","$102,109 ","$99,503 to $102,109"
2013,San Mateo County,91061,"$89,450 ","$92,672 ","$89,450 to $92,672"
2012,San Mateo County,81568,"$79,865 ","$83,271 ","$79,865 to $83,271"
2011,San Mateo County,81378,"$78,428 ","$84,328 ","$78,428 to $84,328"
2010,San Mateo County,82413,"$80,272 ","$84,554 ","$80,272 to $84,554"
2009,San Mateo County,84678,"$81,964 ","$87,392 ","$81,964 to $87,392"
2008,San Mateo County,84879,"$82,478 ","$87,280 ","$82,478 to $87,280"
2007,San Mateo County,82913,"$80,569 ","$85,258 ","$80,569 to $85,258"
2006,San Mateo County,77717,"$75,130 ","$80,304 ","$75,130 to $80,304"
2017,Santa Clara County,118468,"$115,818 ","$121,118 ","$115,818 to $121,118"
2016,Santa Clara County,110843,"$109,222 ","$112,464 ","$109,222 to $112,464"
2015,Santa Clara County,102191,"$100,870 ","$103,512 ","$100,870 to $103,512"
2014,Santa Clara County,97219,"$95,336 ","$99,102 ","$95,336 to $99,102"
2013,Santa Clara County,91843,"$90,443 ","$93,243 ","$90,443 to $93,243"
2012,Santa Clara County,91195,"$89,948 ","$92,442 ","$89,948 to $92,442"
2011,Santa Clara County,84741,"$83,335 ","$86,147 ","$83,335 to $86,147"
2010,Santa Clara County,84627,"$82,907 ","$86,347 ","$82,907 to $86,347"
2009,Santa Clara County,84990,"$83,182 ","$86,797 ","$83,182 to $86,797"
2008,Santa Clara County,88525,"$86,500 ","$90,549 ","$86,500 to $90,549"
2007,Santa Clara County,84265,"$82,686 ","$85,844 ","$82,686 to $85,844"
2006,Santa Clara County,80775,"$79,595 ","$81,955 ","$79,595 to $81,955"
2017,Solano County,75931,"$71,905 ","$79,957 ","$71,905 to $79,957"
2016,Solano County,73200,"$70,308 ","$76,092 ","$70,308 to $76,092"
2015,Solano County,67202,"$64,618 ","$69,786 ","$64,618 to $69,786"
2014,Solano County,67106,"$63,857 ","$70,355 ","$63,857 to $70,355"
2013,Solano County,63398,"$60,444 ","$66,352 ","$60,444 to $66,352"
2012,Solano County,61976,"$60,301 ","$63,651 ","$60,301 to $63,651"
2011,Solano County,63090,"$60,115 ","$66,065 ","$60,115 to $66,065"
2010,Solano County,62948,"$60,252 ","$65,644 ","$60,252 to $65,644"
2009,Solano County,65079,"$61,959 ","$68,200 ","$61,959 to $68,200"
2008,Solano County,70173,"$68,159 ","$72,187 ","$68,159 to $72,187"
2007,Solano County,66575,"$64,710 ","$68,439 ","$64,710 to $68,439"
2006,Solano County,61529,"$60,183 ","$62,875 ","$60,183 to $62,875"
2017,Sonoma County,79511,"$76,859 ","$82,163 ","$76,859 to $82,163"
2016,Sonoma County,73496,"$71,285 ","$75,707 ","$71,285 to $75,707"
2015,Sonoma County,66463,"$63,924 ","$69,002 ","$63,924 to $69,002"
2014,Sonoma County,66949,"$64,082 ","$69,816 ","$64,082 to $69,816"
2013,Sonoma County,61020,"$59,502 ","$62,538 ","$59,502 to $62,538"
2012,Sonoma County,59855,"$57,909 ","$61,801 ","$57,909 to $61,801"
2011,Sonoma County,60792,"$59,023 ","$62,561 ","$59,023 to $62,561"
2010,Sonoma County,58703,"$55,842 ","$61,564 ","$55,842 to $61,564"
2009,Sonoma County,61985,"$59,494 ","$64,476 ","$59,494 to $64,476"
2008,Sonoma County,62314,"$60,456 ","$64,171 ","$60,456 to $64,171"
2007,Sonoma County,62279,"$60,034 ","$64,525 ","$60,034 to $64,525"
2006,Sonoma County,60656,"$58,918 ","$62,393 ","$58,918 to $62,393"
