Area Name,Forecast indicator,Month of Date,Lower Prediction Interval for Accurate rate,Upper Prediction Interval for Accurate rate,Accurate rate
San Francisco County,Actual,Aug-93,,,0.075219085
San Francisco County,Actual,Sep-93,,,0.072445972
San Francisco County,Actual,Oct-93,,,0.070145631
San Francisco County,Actual,Nov-93,,,0.066488066
San Francisco County,Actual,Dec-93,,,0.060679612
San Francisco County,Actual,Jan-94,,,0.072223596
San Francisco County,Actual,Feb-94,,,0.067859806
San Francisco County,Actual,Mar-94,,,0.066134265
San Francisco County,Actual,April 1994,,,0.064847271
San Francisco County,Actual,May-94,,,0.060727729
San Francisco County,Actual,Jun-94,,,0.065713569
San Francisco County,Actual,Jul-94,,,0.070158103
San Francisco County,Actual,Aug-94,,,0.068837898
San Francisco County,Actual,Sep-94,,,0.064896016
San Francisco County,Actual,Oct-94,,,0.060703667
San Francisco County,Actual,Nov-94,,,0.054934129
San Francisco County,Actual,Dec-94,,,0.050284865
San Francisco County,Actual,Jan-95,,,0.059152069
San Francisco County,Actual,Feb-95,,,0.058089172
San Francisco County,Actual,Mar-95,,,0.058343949
San Francisco County,Actual,April 1995,,,0.062165605
San Francisco County,Actual,May-95,,,0.060404402
San Francisco County,Actual,Jun-95,,,0.064812452
San Francisco County,Actual,Jul-95,,,0.069825436
San Francisco County,Actual,Aug-95,,,0.066281697
San Francisco County,Actual,Sep-95,,,0.063975628
San Francisco County,Actual,Oct-95,,,0.057668094
San Francisco County,Actual,Nov-95,,,0.053972257
San Francisco County,Actual,Dec-95,,,0.049192735
San Francisco County,Actual,Jan-96,,,0.057482907
San Francisco County,Actual,Feb-96,,,0.051314459
San Francisco County,Actual,Mar-96,,,0.049283379
San Francisco County,Actual,April 1996,,,0.048755714
San Francisco County,Actual,May-96,,,0.048854962
San Francisco County,Actual,Jun-96,,,0.050012629
San Francisco County,Actual,Jul-96,,,0.055721393
San Francisco County,Actual,Aug-96,,,0.04931164
San Francisco County,Actual,Sep-96,,,0.046072508
San Francisco County,Actual,Oct-96,,,0.04241517
San Francisco County,Actual,Nov-96,,,0.040258449
San Francisco County,Actual,Dec-96,,,0.036413178
San Francisco County,Actual,Jan-97,,,0.042842992
San Francisco County,Actual,Feb-97,,,0.038986839
San Francisco County,Actual,Mar-97,,,0.039930983
San Francisco County,Actual,April 1997,,,0.038537549
San Francisco County,Actual,May-97,,,0.038547072
San Francisco County,Actual,Jun-97,,,0.044215181
San Francisco County,Actual,Jul-97,,,0.04664723
San Francisco County,Actual,Aug-97,,,0.046116505
San Francisco County,Actual,Sep-97,,,0.044776119
San Francisco County,Actual,Oct-97,,,0.040291262
San Francisco County,Actual,Nov-97,,,0.036552893
San Francisco County,Actual,Dec-97,,,0.034282955
San Francisco County,Actual,Jan-98,,,0.038808885
San Francisco County,Actual,Feb-98,,,0.036350329
San Francisco County,Actual,Mar-98,,,0.03886325
San Francisco County,Actual,April 1998,,,0.03425656
San Francisco County,Actual,May-98,,,0.034239922
San Francisco County,Actual,Jun-98,,,0.039584842
San Francisco County,Actual,Jul-98,,,0.041627022
San Francisco County,Actual,Aug-98,,,0.041108987
San Francisco County,Actual,Sep-98,,,0.039083233
San Francisco County,Actual,Oct-98,,,0.036118469
San Francisco County,Actual,Nov-98,,,0.032250301
San Francisco County,Actual,Dec-98,,,0.028871391
San Francisco County,Actual,Jan-99,,,0.034995206
San Francisco County,Actual,Feb-99,,,0.032358581
San Francisco County,Actual,Mar-99,,,0.031339713
San Francisco County,Actual,April 1999,,,0.030222437
San Francisco County,Actual,May-99,,,0.027724204
San Francisco County,Actual,Jun-99,,,0.032590462
San Francisco County,Actual,Jul-99,,,0.035083532
San Francisco County,Actual,Aug-99,,,0.032998565
San Francisco County,Actual,Sep-99,,,0.030702806
San Francisco County,Actual,Oct-99,,,0.029016787
San Francisco County,Actual,Nov-99,,,0.026981853
San Francisco County,Actual,Dec-99,,,0.024142012
San Francisco County,Actual,Jan-00,,,0.035913978
San Francisco County,Actual,Feb-00,,,0.034100597
San Francisco County,Actual,Mar-00,,,0.035139712
San Francisco County,Actual,April 2000,,,0.031529612
San Francisco County,Actual,May-00,,,0.032313289
San Francisco County,Actual,Jun-00,,,0.036856598
San Francisco County,Actual,Jul-00,,,0.037481575
San Francisco County,Actual,Aug-00,,,0.036749265
San Francisco County,Actual,Sep-00,,,0.033586819
San Francisco County,Actual,Oct-00,,,0.032528856
San Francisco County,Actual,Nov-00,,,0.03274927
San Francisco County,Actual,Dec-00,,,0.030101723
San Francisco County,Actual,Jan-01,,,0.038871473
San Francisco County,Actual,Feb-01,,,0.038597955
San Francisco County,Actual,Mar-01,,,0.041640641
San Francisco County,Actual,April 2001,,,0.04239983
San Francisco County,Actual,May-01,,,0.042884574
San Francisco County,Actual,Jun-01,,,0.051096445
San Francisco County,Actual,Jul-01,,,0.053777209
San Francisco County,Actual,Aug-01,,,0.058304647
San Francisco County,Actual,Sep-01,,,0.056432432
San Francisco County,Actual,Oct-01,,,0.062823834
San Francisco County,Actual,Nov-01,,,0.064369311
San Francisco County,Actual,Dec-01,,,0.060652174
San Francisco County,Actual,Jan-02,,,0.071963028
San Francisco County,Actual,Feb-02,,,0.068806331
San Francisco County,Actual,Mar-02,,,0.069711008
San Francisco County,Actual,April 2002,,,0.06816663
San Francisco County,Actual,May-02,,,0.064487237
San Francisco County,Actual,Jun-02,,,0.070933095
San Francisco County,Actual,Jul-02,,,0.071077336
San Francisco County,Actual,Aug-02,,,0.071077336
San Francisco County,Actual,Sep-02,,,0.068616423
San Francisco County,Actual,Oct-02,,,0.068283917
San Francisco County,Actual,Nov-02,,,0.067987393
San Francisco County,Actual,Dec-02,,,0.064937993
San Francisco County,Actual,Jan-03,,,0.071526196
San Francisco County,Actual,Feb-03,,,0.069146508
San Francisco County,Actual,Mar-03,,,0.070296347
San Francisco County,Actual,April 2003,,,0.067238581
San Francisco County,Actual,May-03,,,0.064901593
San Francisco County,Actual,Jun-03,,,0.074453234
San Francisco County,Actual,Jul-03,,,0.070409357
San Francisco County,Actual,Aug-03,,,0.068149883
San Francisco County,Actual,Sep-03,,,0.064447592
San Francisco County,Actual,Oct-03,,,0.063177746
San Francisco County,Actual,Nov-03,,,0.062161526
San Francisco County,Actual,Dec-03,,,0.056132075
San Francisco County,Actual,Jan-04,,,0.063653573
San Francisco County,Actual,Feb-04,,,0.060455192
San Francisco County,Actual,Mar-04,,,0.063582444
San Francisco County,Actual,April 2004,,,0.058696175
San Francisco County,Actual,May-04,,,0.054426705
San Francisco County,Actual,Jun-04,,,0.059134615
San Francisco County,Actual,Jul-04,,,0.059861674
San Francisco County,Actual,Aug-04,,,0.05734767
San Francisco County,Actual,Sep-04,,,0.052758371
San Francisco County,Actual,Oct-04,,,0.054028209
San Francisco County,Actual,Nov-04,,,0.057034221
San Francisco County,Actual,Dec-04,,,0.05009542
San Francisco County,Actual,Jan-05,,,0.054751568
San Francisco County,Actual,Feb-05,,,0.054243009
San Francisco County,Actual,Mar-05,,,0.053662074
San Francisco County,Actual,April 2005,,,0.049307748
San Francisco County,Actual,May-05,,,0.046318869
San Francisco County,Actual,Jun-05,,,0.050921435
San Francisco County,Actual,Jul-05,,,0.051553842
San Francisco County,Actual,Aug-05,,,0.050180941
San Francisco County,Actual,Sep-05,,,0.04862119
San Francisco County,Actual,Oct-05,,,0.047584541
San Francisco County,Actual,Nov-05,,,0.04810249
San Francisco County,Actual,Dec-05,,,0.042222761
San Francisco County,Actual,Jan-06,,,0.045719844
San Francisco County,Actual,Feb-06,,,0.045829292
San Francisco County,Actual,Mar-06,,,0.044584444
San Francisco County,Actual,April 2006,,,0.040806412
San Francisco County,Actual,May-06,,,0.039416058
San Francisco County,Actual,Jun-06,,,0.04308884
San Francisco County,Actual,Jul-06,,,0.045618247
San Francisco County,Actual,Aug-06,,,0.043613707
San Francisco County,Actual,Sep-06,,,0.040086414
San Francisco County,Actual,Oct-06,,,0.03829686
San Francisco County,Actual,Nov-06,,,0.039981074
San Francisco County,Actual,Dec-06,,,0.037325774
San Francisco County,Actual,Jan-07,,,0.04409706
San Francisco County,Actual,Feb-07,,,0.041598884
San Francisco County,Actual,Mar-07,,,0.042063677
San Francisco County,Actual,April 2007,,,0.040084388
San Francisco County,Actual,May-07,,,0.038596491
San Francisco County,Actual,Jun-07,,,0.043427775
San Francisco County,Actual,Jul-07,,,0.04607978
San Francisco County,Actual,Aug-07,,,0.044889503
San Francisco County,Actual,Sep-07,,,0.042577675
San Francisco County,Actual,Oct-07,,,0.041991739
San Francisco County,Actual,Nov-07,,,0.042417332
San Francisco County,Actual,Dec-07,,,0.042057143
San Francisco County,Actual,Jan-08,,,0.045757441
San Francisco County,Actual,Feb-08,,,0.043323706
San Francisco County,Actual,Mar-08,,,0.046017699
San Francisco County,Actual,April 2008,,,0.043103448
San Francisco County,Actual,May-08,,,0.04703025
San Francisco County,Actual,Jun-08,,,0.05281613
San Francisco County,Actual,Jul-08,,,0.056395851
San Francisco County,Actual,Aug-08,,,0.058275563
San Francisco County,Actual,Sep-08,,,0.055241409
San Francisco County,Actual,Oct-08,,,0.057538395
San Francisco County,Actual,Nov-08,,,0.060455038
San Francisco County,Actual,Dec-08,,,0.063663924
San Francisco County,Actual,Jan-09,,,0.076086957
San Francisco County,Actual,Feb-09,,,0.079089924
San Francisco County,Actual,Mar-09,,,0.083929733
San Francisco County,Actual,April 2009,,,0.081045752
San Francisco County,Actual,May-09,,,0.083954406
San Francisco County,Actual,Jun-09,,,0.091464746
San Francisco County,Actual,Jul-09,,,0.092281156
San Francisco County,Actual,Aug-09,,,0.092897358
San Francisco County,Actual,Sep-09,,,0.090909091
San Francisco County,Actual,Oct-09,,,0.091345106
San Francisco County,Actual,Nov-09,,,0.089779908
San Francisco County,Actual,Dec-09,,,0.089375685
San Francisco County,Actual,Jan-10,,,0.093983402
San Francisco County,Actual,Feb-10,,,0.091718427
San Francisco County,Actual,Mar-10,,,0.093440594
San Francisco County,Actual,April 2010,,,0.087625693
San Francisco County,Actual,May-10,,,0.084917355
San Francisco County,Actual,Jun-10,,,0.089123242
San Francisco County,Actual,Jul-10,,,0.089777596
San Francisco County,Actual,Aug-10,,,0.08962842
San Francisco County,Actual,Sep-10,,,0.087205732
San Francisco County,Actual,Oct-10,,,0.087546239
San Francisco County,Actual,Nov-10,,,0.090123457
San Francisco County,Actual,Dec-10,,,0.084669133
San Francisco County,Actual,Jan-11,,,0.088542734
San Francisco County,Actual,Feb-11,,,0.085345886
San Francisco County,Actual,Mar-11,,,0.084236352
San Francisco County,Actual,April 2011,,,0.079216007
San Francisco County,Actual,May-11,,,0.078319396
San Francisco County,Actual,Jun-11,,,0.084216966
San Francisco County,Actual,Jul-11,,,0.083400483
San Francisco County,Actual,Aug-11,,,0.082213756
San Francisco County,Actual,Sep-11,,,0.07853717
San Francisco County,Actual,Oct-11,,,0.076999801
San Francisco County,Actual,Nov-11,,,0.074990028
San Francisco County,Actual,Dec-11,,,0.07239459
San Francisco County,Actual,Jan-12,,,0.075630252
San Francisco County,Actual,Feb-12,,,0.074404762
San Francisco County,Actual,Mar-12,,,0.07270206
San Francisco County,Actual,April 2012,,,0.067524752
San Francisco County,Actual,May-12,,,0.067377989
San Francisco County,Actual,Jun-12,,,0.071315997
San Francisco County,Actual,Jul-12,,,0.071470302
San Francisco County,Actual,Aug-12,,,0.068474444
San Francisco County,Actual,Sep-12,,,0.062609372
San Francisco County,Actual,Oct-12,,,0.062257564
San Francisco County,Actual,Nov-12,,,0.060482303
San Francisco County,Actual,Dec-12,,,0.059131446
San Francisco County,Actual,Jan-13,,,0.063560148
San Francisco County,Actual,Feb-13,,,0.059052059
San Francisco County,Actual,Mar-13,,,0.056798288
San Francisco County,Actual,April 2013,,,0.052446871
San Francisco County,Actual,May-13,,,0.052877138
San Francisco County,Actual,Jun-13,,,0.058024452
San Francisco County,Actual,Jul-13,,,0.057318715
San Francisco County,Actual,Aug-13,,,0.05495565
San Francisco County,Actual,Sep-13,,,0.052185635
San Francisco County,Actual,Oct-13,,,0.052396662
San Francisco County,Actual,Nov-13,,,0.049344641
San Francisco County,Actual,Dec-13,,,0.04621606
San Francisco County,Actual,Jan-14,,,0.049132948
San Francisco County,Actual,Feb-14,,,0.048738532
San Francisco County,Actual,Mar-14,,,0.048353322
San Francisco County,Actual,April 2014,,,0.041618719
San Francisco County,Actual,May-14,,,0.042199733
San Francisco County,Actual,Jun-14,,,0.0443725
San Francisco County,Actual,Jul-14,,,0.046725464
San Francisco County,Actual,Aug-14,,,0.045480173
San Francisco County,Actual,Sep-14,,,0.041432321
San Francisco County,Actual,Oct-14,,,0.040477523
San Francisco County,Actual,Nov-14,,,0.039962652
San Francisco County,Actual,Dec-14,,,0.036414566
San Francisco County,Actual,Jan-15,,,0.041060097
San Francisco County,Actual,Feb-15,,,0.038876488
San Francisco County,Actual,Mar-15,,,0.038068709
San Francisco County,Actual,April 2015,,,0.035408125
San Francisco County,Actual,May-15,,,0.035767235
San Francisco County,Actual,Jun-15,,,0.037798777
San Francisco County,Actual,Jul-15,,,0.038996705
San Francisco County,Actual,Aug-15,,,0.036446886
San Francisco County,Actual,Sep-15,,,0.033767664
San Francisco County,Actual,Oct-15,,,0.034628069
San Francisco County,Actual,Nov-15,,,0.033705807
San Francisco County,Actual,Dec-15,,,0.032553036
San Francisco County,Actual,Jan-16,,,0.034212921
San Francisco County,Actual,Feb-16,,,0.03341763
San Francisco County,Actual,Mar-16,,,0.033998921
San Francisco County,Actual,April 2016,,,0.031754672
San Francisco County,Actual,May-16,,,0.029785688
San Francisco County,Actual,Jun-16,,,0.034134008
San Francisco County,Actual,Jul-16,,,0.03549135
San Francisco County,Actual,Aug-16,,,0.034470441
San Francisco County,Actual,Sep-16,,,0.033012134
San Francisco County,Actual,Oct-16,,,0.033446611
San Francisco County,Actual,Nov-16,,,0.03135077
San Francisco County,Actual,Dec-16,,,0.030014378
San Francisco County,Actual,Jan-17,,,0.033843962
San Francisco County,Actual,Feb-17,,,0.031355182
San Francisco County,Actual,Mar-17,,,0.029911504
San Francisco County,Actual,April 2017,,,0.027792624
San Francisco County,Actual,May-17,,,0.027698356
San Francisco County,Actual,Jun-17,,,0.030960854
San Francisco County,Actual,Jul-17,,,0.032331752
San Francisco County,Actual,Aug-17,,,0.032104428
San Francisco County,Actual,Sep-17,,,0.027411703
San Francisco County,Actual,Oct-17,,,0.026888378
San Francisco County,Actual,Nov-17,,,0.02563196
San Francisco County,Actual,Dec-17,,,0.024649761
San Francisco County,Actual,Jan-18,,,0.026983845
San Francisco County,Actual,Feb-18,,,0.02564553
San Francisco County,Actual,Mar-18,,,0.024702172
San Francisco County,Actual,April 2018,,,0.022183099
San Francisco County,Actual,May-18,,,0.020734493
San Francisco County,Actual,Jun-18,,,0.025641026
San Francisco County,Actual,Jul-18,,,0.024969864
San Francisco County,Actual,Aug-18,,,0.024567474
San Francisco County,Actual,Sep-18,,,0.021873924
San Francisco County,Actual,Oct-18,,,0.022493132
San Francisco County,Actual,Nov-18,,,0.021378485
San Francisco County,Actual,Dec-18,,,0.02130924
San Francisco County,Actual,Jan-19,,,0.026230625
San Francisco County,Actual,Feb-19,,,0.02408821
San Francisco County,Actual,Mar-19,,,0.025558017
San Francisco County,Actual,April 2019,,,0.020746888
San Francisco County,Actual,May-19,,,0.018955713
San Francisco County,Actual,Jun-19,,,0.023468507
San Francisco County,Actual,Jul-19,,,0.024489796
San Francisco County,Actual,Aug-19,,,0.023156819
San Mateo County,Estimate,Sep-19,0.015215546,0.021546347,0.018380947
San Mateo County,Estimate,Oct-19,0.014008579,0.021922079,0.017965329
San Mateo County,Estimate,Nov-19,0.012284537,0.022418762,0.01735165
San Mateo County,Estimate,Dec-19,0.0087664,0.021624317,0.015195358
San Mateo County,Estimate,Jan-20,0.010573869,0.026558358,0.018566114
San Mateo County,Estimate,Feb-20,0.007798707,0.027247253,0.01752298
San Mateo County,Estimate,Mar-20,0.005898003,0.029104943,0.017501473
San Mateo County,Estimate,April 2020,0.000583803,0.027813606,0.014198704
San Mateo County,Estimate,May-20,-0.002403671,0.029091664,0.013343996
San Mateo County,Estimate,Jun-20,-0.000547759,0.035439098,0.017445669
San Mateo County,Estimate,Jul-20,-0.001811229,0.038879866,0.018534319
San Mateo County,Estimate,Aug-20,-0.006090594,0.039506556,0.016707981
San Mateo County,Estimate,Sep-20,-0.011485042,0.039332202,0.01392358
San Mateo County,Estimate,Oct-20,-0.014536661,0.041552586,0.013507963
San Mateo County,Estimate,Nov-20,-0.01787611,0.043664676,0.012894283
San Mateo County,Estimate,Dec-20,-0.022844727,0.04432071,0.010737992
San Mateo County,Actual,Jan-90,,,0.025114772
San Mateo County,Actual,Feb-90,,,0.0232873
San Mateo County,Actual,Mar-90,,,0.021915584
San Mateo County,Actual,April 1990,,,0.024112707
San Mateo County,Actual,May-90,,,0.024701412
San Mateo County,Actual,Jun-90,,,0.025606469
San Mateo County,Actual,Jul-90,,,0.029803087
San Mateo County,Actual,Aug-90,,,0.02792696
San Mateo County,Actual,Sep-90,,,0.028563656
San Mateo County,Actual,Oct-90,,,0.02744887
San Mateo County,Actual,Nov-90,,,0.028470716
San Mateo County,Actual,Dec-90,,,0.027672273
San Mateo County,Actual,Jan-91,,,0.03538124
San Mateo County,Actual,Feb-91,,,0.038450975
San Mateo County,Actual,Mar-91,,,0.039242591
San Mateo County,Actual,April 1991,,,0.037534247
San Mateo County,Actual,May-91,,,0.040286976
San Mateo County,Actual,Jun-91,,,0.043287671
San Mateo County,Actual,Jul-91,,,0.044816415
San Mateo County,Actual,Aug-91,,,0.041824069
San Mateo County,Actual,Sep-91,,,0.040788393
San Mateo County,Actual,Oct-91,,,0.038388754
San Mateo County,Actual,Nov-91,,,0.036896365
San Mateo County,Actual,Dec-91,,,0.037327563
San Mateo County,Actual,Jan-92,,,0.046517954
San Mateo County,Actual,Feb-92,,,0.048580786
San Mateo County,Actual,Mar-92,,,0.048594049
San Mateo County,Actual,April 1992,,,0.04825518
San Mateo County,Actual,May-92,,,0.049849356
San Mateo County,Actual,Jun-92,,,0.055031022
San Mateo County,Actual,Jul-92,,,0.055970149
San Mateo County,Actual,Aug-92,,,0.054706356
San Mateo County,Actual,Sep-92,,,0.054297408
San Mateo County,Actual,Oct-92,,,0.049372613
San Mateo County,Actual,Nov-92,,,0.049741778
San Mateo County,Actual,Dec-92,,,0.047036433
San Mateo County,Actual,Jan-93,,,0.052974735
San Mateo County,Actual,Feb-93,,,0.054098361
San Mateo County,Actual,Mar-93,,,0.052761748
San Mateo County,Actual,April 1993,,,0.051600442
San Mateo County,Actual,May-93,,,0.050410959
San Mateo County,Actual,Jun-93,,,0.054406964
San Mateo County,Actual,Jul-93,,,0.054735712
San Mateo County,Actual,Aug-93,,,0.051226746
San Mateo County,Actual,Sep-93,,,0.049701249
San Mateo County,Actual,Oct-93,,,0.048780488
San Mateo County,Actual,Nov-93,,,0.045698925
San Mateo County,Actual,Dec-93,,,0.042467949
San Mateo County,Actual,Jan-94,,,0.051309749
San Mateo County,Actual,Feb-94,,,0.050797082
San Mateo County,Actual,Mar-94,,,0.049633849
San Mateo County,Actual,April 1994,,,0.048409029
San Mateo County,Actual,May-94,,,0.047036433
San Mateo County,Actual,Jun-94,,,0.049577772
San Mateo County,Actual,Jul-94,,,0.051399354
San Mateo County,Actual,Aug-94,,,0.048708288
San Mateo County,Actual,Sep-94,,,0.046892039
San Mateo County,Actual,Oct-94,,,0.043630487
San Mateo County,Actual,Nov-94,,,0.039902939
San Mateo County,Actual,Dec-94,,,0.035196131
San Mateo County,Actual,Jan-95,,,0.04359673
San Mateo County,Actual,Feb-95,,,0.042646255
San Mateo County,Actual,Mar-95,,,0.042145594
San Mateo County,Actual,April 1995,,,0.04494382
San Mateo County,Actual,May-95,,,0.043203082
San Mateo County,Actual,Jun-95,,,0.045116919
San Mateo County,Actual,Jul-95,,,0.04695089
San Mateo County,Actual,Aug-95,,,0.043973941
San Mateo County,Actual,Sep-95,,,0.041986828
San Mateo County,Actual,Oct-95,,,0.039826605
San Mateo County,Actual,Nov-95,,,0.036876356
San Mateo County,Actual,Dec-95,,,0.03304442
San Mateo County,Actual,Jan-96,,,0.039189189
San Mateo County,Actual,Feb-96,,,0.03655914
San Mateo County,Actual,Mar-96,,,0.036305392
San Mateo County,Actual,April 1996,,,0.036378335
San Mateo County,Actual,May-96,,,0.035395839
San Mateo County,Actual,Jun-96,,,0.034686744
San Mateo County,Actual,Jul-96,,,0.037951168
San Mateo County,Actual,Aug-96,,,0.034345048
San Mateo County,Actual,Sep-96,,,0.032878909
San Mateo County,Actual,Oct-96,,,0.030679714
San Mateo County,Actual,Nov-96,,,0.028954988
San Mateo County,Actual,Dec-96,,,0.025950197
San Mateo County,Actual,Jan-97,,,0.030740935
San Mateo County,Actual,Feb-97,,,0.029434954
San Mateo County,Actual,Mar-97,,,0.029250457
San Mateo County,Actual,April 1997,,,0.026722557
San Mateo County,Actual,May-97,,,0.025963808
San Mateo County,Actual,Jun-97,,,0.029281046
San Mateo County,Actual,Jul-97,,,0.03004403
San Mateo County,Actual,Aug-97,,,0.028993011
San Mateo County,Actual,Sep-97,,,0.027400835
San Mateo County,Actual,Oct-97,,,0.024049651
San Mateo County,Actual,Nov-97,,,0.022393822
San Mateo County,Actual,Dec-97,,,0.021025641
San Mateo County,Actual,Jan-98,,,0.025853154
San Mateo County,Actual,Feb-98,,,0.024522457
San Mateo County,Actual,Mar-98,,,0.025482625
San Mateo County,Actual,April 1998,,,0.02286742
San Mateo County,Actual,May-98,,,0.022855675
San Mateo County,Actual,Jun-98,,,0.025851037
San Mateo County,Actual,Jul-98,,,0.027749748
San Mateo County,Actual,Aug-98,,,0.02712294
San Mateo County,Actual,Sep-98,,,0.026564496
San Mateo County,Actual,Oct-98,,,0.024458599
San Mateo County,Actual,Nov-98,,,0.021871821
San Mateo County,Actual,Dec-98,,,0.019143577
San Mateo County,Actual,Jan-99,,,0.022583101
San Mateo County,Actual,Feb-99,,,0.021529889
San Mateo County,Actual,Mar-99,,,0.020728008
San Mateo County,Actual,April 1999,,,0.019923372
San Mateo County,Actual,May-99,,,0.018311292
San Mateo County,Actual,Jun-99,,,0.021033958
San Mateo County,Actual,Jul-99,,,0.022733013
San Mateo County,Actual,Aug-99,,,0.021255061
San Mateo County,Actual,Sep-99,,,0.020025349
San Mateo County,Actual,Oct-99,,,0.018499747
San Mateo County,Actual,Nov-99,,,0.016645649
San Mateo County,Actual,Dec-99,,,0.014735265
San Mateo County,Actual,Jan-00,,,0.030883104
San Mateo County,Actual,Feb-00,,,0.029828109
San Mateo County,Actual,Mar-00,,,0.03014318
San Mateo County,Actual,April 2000,,,0.027047523
San Mateo County,Actual,May-00,,,0.027679025
San Mateo County,Actual,Jun-00,,,0.031682172
San Mateo County,Actual,Jul-00,,,0.032733633
San Mateo County,Actual,Aug-00,,,0.03117207
San Mateo County,Actual,Sep-00,,,0.028091297
San Mateo County,Actual,Oct-00,,,0.026919242
San Mateo County,Actual,Nov-00,,,0.02580005
San Mateo County,Actual,Dec-00,,,0.022968634
San Mateo County,Actual,Jan-01,,,0.029367845
San Mateo County,Actual,Feb-01,,,0.028351156
San Mateo County,Actual,Mar-01,,,0.030543829
San Mateo County,Actual,April 2001,,,0.031360647
San Mateo County,Actual,May-01,,,0.031329598
San Mateo County,Actual,Jun-01,,,0.038667006
San Mateo County,Actual,Jul-01,,,0.041305456
San Mateo County,Actual,Aug-01,,,0.043052333
San Mateo County,Actual,Sep-01,,,0.042184265
San Mateo County,Actual,Oct-01,,,0.047101449
San Mateo County,Actual,Nov-01,,,0.048843856
San Mateo County,Actual,Dec-01,,,0.046566077
San Mateo County,Actual,Jan-02,,,0.055570118
San Mateo County,Actual,Feb-02,,,0.054089365
San Mateo County,Actual,Mar-02,,,0.056559309
San Mateo County,Actual,April 2002,,,0.054482941
San Mateo County,Actual,May-02,,,0.051792829
San Mateo County,Actual,Jun-02,,,0.058151885
San Mateo County,Actual,Jul-02,,,0.058589608
San Mateo County,Actual,Aug-02,,,0.05883912
San Mateo County,Actual,Sep-02,,,0.056548413
San Mateo County,Actual,Oct-02,,,0.056930035
San Mateo County,Actual,Nov-02,,,0.057538625
San Mateo County,Actual,Dec-02,,,0.055703625
San Mateo County,Actual,Jan-03,,,0.059625668
San Mateo County,Actual,Feb-03,,,0.058571811
San Mateo County,Actual,Mar-03,,,0.060279871
San Mateo County,Actual,April 2003,,,0.05807327
San Mateo County,Actual,May-03,,,0.056438356
San Mateo County,Actual,Jun-03,,,0.063812381
San Mateo County,Actual,Jul-03,,,0.061576355
San Mateo County,Actual,Aug-03,,,0.059452055
San Mateo County,Actual,Sep-03,,,0.056811914
San Mateo County,Actual,Oct-03,,,0.055632057
San Mateo County,Actual,Nov-03,,,0.055265329
San Mateo County,Actual,Dec-03,,,0.049284141
San Mateo County,Actual,Jan-04,,,0.055038335
San Mateo County,Actual,Feb-04,,,0.052617155
San Mateo County,Actual,Mar-04,,,0.055418381
San Mateo County,Actual,April 2004,,,0.049568365
San Mateo County,Actual,May-04,,,0.046700224
San Mateo County,Actual,Jun-04,,,0.05059772
San Mateo County,Actual,Jul-04,,,0.049751244
San Mateo County,Actual,Aug-04,,,0.046563193
San Mateo County,Actual,Sep-04,,,0.043769166
San Mateo County,Actual,Oct-04,,,0.044561306
San Mateo County,Actual,Nov-04,,,0.04445058
San Mateo County,Actual,Dec-04,,,0.041137493
San Mateo County,Actual,Jan-05,,,0.044672586
San Mateo County,Actual,Feb-05,,,0.045957918
San Mateo County,Actual,Mar-05,,,0.044987503
San Mateo County,Actual,April 2005,,,0.041271612
