"area_sqft","bedroom","bathroom","type","year_built","heating","cooling","parking","elementrary_rating","middle_school_rating","high_school_rating","annual_tax_amount","zestimate"
1762,3,2,"Single",1967,"ForcedAir","Central",,3,3,3,,449013
2797,5,3,"Single",2001,"ForcedAir","Central",,3,3,5,,569004
1348,3,2,"Single",1977,"ForcedAir","Central",,1,1,3,,438095
,4,,"Single",1992,,,,3,3,5,,520699
,4,,"Single",1993,,,,3,1,5,,490553
1972,3,2,"Single",1968,"ForcedAir","Central",,2,1,3,,499003
1021,3,1,"Single",1952,,"Wall",,,,,,344792
,3,,"Single",1982,,,,2,1,3,,332172
2507,4,3,"Single",1978,"ForcedAir","Central",,2,3,3,,520392
2626,5,3,"Single",2019,,,,4,3,5,,604952
2626,5,3,"Single",,,,,4,3,5,,627210
2752,4,4,"Single",1991,"ForcedAir","Central",,2,1,5,,549002
3518,7,4,"Single",2005,"ForcedAir","Central",,1,1,3,,538230
2102,4,3,"Single",,,,,4,3,5,,561802
,3,,"Single",1994,,,,3,1,5,,418270
,3,,"Single",1994,,"Central",,3,1,5,,473543
1536,2,2,"Mobile",1990,"ForcedAir","Central",,2,1,3,,220000
2053,4,3,"Single",1988,"ForcedAir","Central",,3,1,5,,523576
2152,4,3,"Single",1988,,"Central",,3,3,5,,519952
,6,,"Multiple",1987,"Wall","Wall",,1,1,3,,863539
2022,3,3,"Single",1988,"ForcedAir","Central",,3,3,5,,489449
2719,4,4,"Single",2002,"ForcedAir","Central",,3,3,5,,575955
1172,3,2,"Single",1972,"ForcedAir","Central",,2,3,3,,400650
1608,2,2,"Mobile",,,,,2,1,3,,260500
,3,,"Single",1999,,,,4,3,5,,475179
1753,4,3,"Single",1975,"ForcedAir","Central",,2,3,3,,471053
2308,4,3,"Single",2019,,,,2,1,5,,573620
2374,3,2,"Single",2019,,,,3,1,5,,602754
,2,,"Condo",1987,"ForcedAir","Central",,2,1,5,,263693
2228,2,3,"Single",1956,"ForcedAir","Central",,2,1,3,,486738
1761,3,2.5,"Single",1990,"ForcedAir","Central",,2,1,5,,450088
1768,3,1,"Single",1914,"ForcedAir","Central",,1,1,3,,372188
1152,3,2,"Townhouse",1977,"ForcedAir","Central",,2,3,3,,264640
1136,2,1,"Single",1946,"ForcedAir","Central",,1,1,3,,344207
1239,3,1,"Single",1950,"ForcedAir","Central",,1,1,3,,352523
3275,6,3,"Single",1991,"ForcedAir","Central",,3,3,5,,574435
2308,4,3,"Single",2019,,,,2,1,5,,624647
845,2,1,"Single",1972,"ForcedAir","Central",,2,3,3,,250065
1707,3,2.5,"Single",1987,"ForcedAir","Central",,5,3,5,,405473
944,2,2,"Condo",1981,"ForcedAir","Central",,1,3,3,,239951
781,2,1,"Single",1941,"ForcedAir","Central",,2,1,3,,352502
3125,5,4,"Single",2000,,,,3,3,5,,552693
2522,4,3,"Single",1984,"ForcedAir","Central",,3,3,3,,542213
1487,4,3,"Single",1978,"ForcedAir","Central",,1,3,3,,387784
,3,,"Single",1992,,"Central",,4,3,5,,417987
1160,3,2,"Single",1959,"ForcedAir","Central",,1,3,3,,375961
1667,3,2,"Single",1946,,,,1,3,3,,327797
1690,3,3,"Single",1989,"ForcedAir","Central",,5,3,5,,485000
3196,5,3,"Single",1991,"ForcedAir","Central",,3,1,5,,625047
2188,3,2,"Single",2019,,,,3,1,5,,591467
2438,4,3,"Single",1984,"ForcedAir","Central",,3,3,3,,588003
,4,,"Single",2012,,"Central",,2,1,5,,501460
,4,,"Single",1990,,,,3,1,5,,376637
2340,4,3,"Single",2019,,,,7,8,9,,563869
,4,,"Single",1996,"ForcedAir","Central",,3,3,5,,491855
2626,5,3,"Single",2019,,,,4,3,5,,589952
3383,4,3,"Single",2002,"ForcedAir","Central",,,,,,754855
,,,"Multiple",1958,"Electric","Central",,2,1,3,,669360
,3,,"Single",1972,"ForcedAir","Central",,2,3,3,,384694
,5,,,,,,,5,3,5,,525036
2626,5,3,"Single",2019,,,,7,8,9,,588654
,5,,"Single",1995,,,,3,3,5,,533480
,2,,"Single",1909,,,,1,1,3,,299062
,5,,"Single",2002,,,,3,3,5,,754478
2083,4,2,"Single",1987,"ForcedAir","Central",,2,1,5,,540196
,4,,"Single",2000,,"Central",,4,3,5,,514913
1631,4,2,"Single",1967,"ForcedAir","Central",,2,3,3,,445002
,3,,"Single",1994,,"Central",,3,1,5,,404251
3402,5,4,"Single",2000,,"Central",,3,3,5,,532528
2340,4,3,"Single",,,,,4,3,5,,587740
1797,4,1,"Single",1935,"ForcedAir","Central",,1,1,3,,415003
,3,,"Single",1964,"ForcedAir",,,1,1,3,,366105
1008,2,2,"Condo",1988,"ForcedAir","Central",,2,1,3,,290028
,4,,"Single",1978,"ForcedAir","Central",,1,1,3,,444879
2752,4,3,"Single",2019,,,,2,3,3,,657868
,2,,"Single",1987,,,,3,1,5,,347882
1008,2,2,"Condo",1988,"ForcedAir","Central",,2,1,3,,280015
1022,3,1,"Single",1953,"ForcedAir","Central",,2,3,3,,397836
2578,4,3,"Single",1999,,,,,,,,525003
1344,3,2,"Single",1990,,"Central",,2,3,3,,408781
,3,,"Single",1977,"ForcedAir","Central",,1,3,3,,334357
2911,4,3,"Single",2009,,"Central",,2,1,5,,578903
1579,3,2,"Single",1977,"ForcedAir","Central",,3,3,3,,477684
800,2,1,"Single",1942,"ForcedAir","Central",,2,1,3,,324993
2488,5,3,"Single",1988,"ForcedAir","Central",,2,1,5,,549057
1648,3,2,"Single",1976,"ForcedAir","Central",,1,1,3,,459854
1377,3,2,"Single",1960,"ForcedAir","Central",,2,1,3,,444902
878,2,1,"Condo",1986,"ForcedAir","Central",,2,3,3,,219034
1232,2,2,"Mobile",,"ForcedAir","Central",,2,1,3,,140043
1418,2,2,"Mobile",1989,"ForcedAir","Central",,2,1,3,,160576
1321,3,2,"Single",1995,"ForcedAir","Central",,4,3,5,,475134
2196,3,3,"Single",2005,"ForcedAir","Central",,2,1,3,,464953
1440,2,2,"Mobile",,,,,2,1,3,,178929
1409,3,2,"Single",1960,"ForcedAir",,,1,1,3,,415002
1010,2,1,"Single",1953,"Wall",,,2,3,3,,334992
,6,,"Single",2002,,,,3,3,5,,554434
850,2,1,"Mobile",1971,,,,1,1,3,,108000
,5,,,1985,,,,2,1,5,,467654
2380,4,3,"Single",1992,,"Central",,4,3,5,,550042
1242,2,2,"Mobile",1981,,"Central",,2,3,3,,95000
,3,,"Single",1980,"ForcedAir","Central",,2,3,3,,368512
2179,5,3,"Single",2000,"ForcedAir","Central",,3,3,5,,521588
,4,,"Single",2003,,"Central",,4,3,5,,509634
,5,,"Single",2016,,,,5,3,5,,580663
,3,,"Single",1968,,,,2,3,3,,400752
,4,,"Single",1999,,"Central",,4,3,5,,553904
1154,3,2,"Single",1977,"ForcedAir","Central",,1,3,3,,305585
,7,,"Single",2004,,"Central",,4,3,5,,546421
,3,,"Single",1978,"ForcedAir","Wall",,2,3,3,,437943
,4,,"Single",2000,"ForcedAir","Central",,3,3,5,,648912
1533,4,2,"Single",1997,"ForcedAir","Central",,3,3,5,,465512
1136,2,1.5,"Single",1980,,"Central",,2,3,3,,185154
958,3,1,"Single",1956,"Wall","Central",,1,1,3,,359902
2999,4,4,"Single",2000,"ForcedAir","Central",,3,3,5,,570312
2048,2,2,"Mobile",,"ForcedAir","Central",,2,3,3,,80219
1577,3,2.5,"Single",1995,,"Central",,3,3,5,,418052
2102,4,3,"Single",2019,,,,7,8,9,,543956
1319,2,2,"Mobile",,,,,2,1,3,,215941
1653,3,2,"Single",1988,"ForcedAir","Central",,3,3,5,,501470
871,2,2,"Condo",1988,"ForcedAir","Central",,2,1,5,,277627
2512,5,3,"Single",1995,,,,3,1,5,,539903
,4,,"Single",2013,"ForcedAir","Central",,3,1,5,,570001
3315,5,3,"Single",2000,"ForcedAir","Central",,4,3,5,,599003
2766,4,4,"Single",2019,,,,2,1,5,,662124
830,2,2,"Condo",1986,"ForcedAir","Central",,2,3,3,,248802
4270,5,4,"Single",2009,"ForcedAir","Central",,1,1,3,,675002
,3,,"Single",1974,"ForcedAir","Central",,3,3,3,,413024
1250,3,2,"Single",1949,,,,1,1,3,,398420
1652,3,2,"Single",2019,,,,7,8,9,,518992
1326,3,2,"Single",1992,"ForcedAir","Central",,4,3,5,,430730
2152,4,3,"Single",1967,"ForcedAir","Central",,3,3,5,,492004
,3,,"Single",1997,,,,5,3,5,,422517
2289,3,3,"Single",1992,"ForcedAir","Central",,5,3,5,,481449
1875,4,2,"Single",1990,"ForcedAir","Central",,3,1,5,,485004
,5,,"Single",2015,"ForcedAir",,,5,3,5,,574111
1456,3,2,"Single",1965,"ForcedAir","Central",,2,1,3,,439953
3469,6,3,"Single",1999,"ForcedAir","Central",,3,1,5,,615001
,3,,"Single",1952,,,,2,1,3,,425936
822,2,1,"Condo",1969,"ForcedAir","Central",,1,3,3,,209002
2626,5,3,"Single",2019,,,,4,3,5,,571952
2626,5,3,"Single",,,,,4,3,5,,615259
2576,5,3,"Single",1990,"ForcedAir",,,2,1,5,,536350
,3,,"Single",1942,"ForcedAir","Central",,2,1,3,,399078
,5,,"Single",1999,,"Central",,3,1,5,,528869
,6,,"Single",1996,,,,3,1,5,,510527
,4,,"Single",1973,,,,2,3,3,,418017
,4,,"Single",1995,,"Central",,3,1,5,,453069
,5,,"Single",1993,,,,3,3,5,,514826
3679,5,3,"Single",2000,"ForcedAir","Central",,3,1,5,,765004
2626,5,3,"Single",,,,,4,3,5,,638284
,4,,"Single",1999,,"Central",,3,3,5,,608110
2566,4,3,"Single",2019,,,,2,1,5,,631486
1174,3,1,"Single",1953,,,,2,3,3,,352601
1267,3,3,"Condo",1995,,"Central",,3,3,5,,410833
,5,,"Single",1996,,"Central",,4,3,5,,531639
,4,,"Single",1981,,,,2,1,3,,488803
1761,3,2.5,"Single",1989,"ForcedAir","Central",,2,1,5,,438833
,4,,"Single",1998,,"Central",,4,3,5,,436671
2979,5,3,"Single",2000,"ForcedAir","Central",,3,1,5,,568084
795,2,1,"Condo",1986,"ForcedAir","Central",,2,3,3,,239951
1021,2,1,"Single",1951,"ForcedAir","Central",,2,1,3,,350016
1142,4,1,"Single",1943,"ForcedAir","Central",,,,,,369039
1440,3,2,"Single",1983,"ForcedAir","Central",,2,3,3,,469902
2340,4,3,"Single",,,,,4,3,5,,602790
1707,4,2,"Single",1973,"ForcedAir","Central",,2,1,3,,413555
1008,2,2,"Condo",1988,"ForcedAir","Central",,2,1,3,,279501
1653,3,2,"Single",1988,,"Central",,3,3,5,,469047
1078,3,1,"Single",1954,"Wall","Wall",,2,1,3,,379903
,3,,"Single",1959,"ForcedAir","Central",,2,1,3,,355737
3270,4,3,"Single",2002,"ForcedAir","Central",,3,3,5,,599952
1342,4,2,"Townhouse",1972,"ForcedAir","Central",,2,3,3,,315021
2237,5,3,"Single",1990,,"Central",,3,1,5,,504438
825,2,1,"Condo",1972,"ForcedAir","Central",,2,3,3,,259951
1560,2,2,"Mobile",1991,"ForcedAir","Central",,2,1,3,,165000
,5,,"Single",1999,,,,3,3,5,,583359
,3,,"Single",1990,"ForcedAir","Central",,2,3,3,,407589
2102,4,3,"Single",,,,,4,3,5,,564340
,4,,"Single",1986,,"Central",,1,1,3,,450818
1421,4,2,"Single",1973,"ForcedAir","Central",,2,3,3,,450762
2340,4,3,"Single",2019,,,,4,3,5,,581952
3392,5,3,"Single",2002,"ForcedAir","Central",,3,3,5,,585002
2567,5,3,"Single",2019,,,,2,1,5,,636349
,3,,"Single",1904,,,,2,1,3,,331760
,4,,"Single",1986,"ForcedAir","Central",,2,1,5,,446344
1549,3,2,"Single",1973,"ForcedAir","Central",,2,1,3,,540002
,4,,"Single",2014,,"Central",,3,1,5,,541992
2485,4,3,"Single",2009,,"Central",,1,1,3,,549233
2250,4,3,"Single",1992,"ForcedAir","Central",,3,3,5,,499004
3322,3,3,"Single",1951,"ForcedAir","Central","2 spaces",8,8,8,44520,6032319
2624,4,4,"Single",2016,"ForcedAir","Central","2 spaces",5,5,8,28407,3451077
2564,3,4,"Single",1951,"ForcedAir","Central","2 spaces",5,5,8,24668,3281191
5576,6,7,"Single",1949,"ForcedAir","Central","Garage",9,8,8,67069,14986420
3520,3,4,"Single",1921,"ForcedAir",,"Garage",9,8,8,133539,14242123
9507,7,8,"Single",1900,"ForcedAir","Central","Garage",9,8,,51013,14491443
7641,5,7,"Single",2010,"ForcedAir","Central","3 spaces",9,8,,89244,12667284
,6,,"Single",1900,"ForcedAir",,"Garage",9,8,,25701,4581104
5000,5,4,"Single",1986,"ForcedAir","Central","5+ spaces",9,8,,27151,7412815
4235,6,5,"Single",2019,"ForcedAir","Central","Garage",8,8,8,28138,4689219
3790,5,4,"Single",1930,"ForcedAir",,"2 spaces",5,5,8,4726,8084933
2430,4,3,"Single",1954,"ForcedAir","Central","Garage",8,8,8,3702,4734739
5885,5,6,"Single",2010,"ForcedAir","Central","3 spaces",8,8,8,47213,7245166
5762,6,7,"Single",1999,"ForcedAir","Central","3 spaces",5,5,8,93236,10342667
3400,4,3,"Single",1959,"ForcedAir",,"Garage",9,8,,5051,7829999
6296,4,6,"Single",2006,"ForcedAir","Central","Garage",5,5,8,37373,11039232
5690,7,6,"Single",1951,"ForcedAir","Central","3 spaces",8,8,8,50886,7649887
9786,6,10,"Single",2018,"ForcedAir","Central","2 spaces",9,8,,83808,13443749
5800,4,5,"Single",1995,"ForcedAir","Central","Garage",9,8,,,8426836
,5,,"Single",1998,,,"Garage",5,5,8,81939,7582577
2420,4,3,"Single",1952,"ForcedAir",,"Garage",8,8,8,50231,4900020
1345,2,2,"Condo",2019,"ForcedAir","Central",,9,9,9,,1352729
,2,,"Condo",1992,,,"Garage",7,9,9,7409,720803
3023,4,4,"Single",1949,"ForcedAir",,"Garage",9,9,9,16766,3100214
1704,3,2,"Single",1960,"ForcedAir",,"Garage",9,9,9,6833,1780900
1054,2,2,"Condo",1992,"ForcedAir",,"Garage",7,9,9,8614,1035823
1910,3,2,"Single",1960,"ForcedAir",,"Garage",9,9,9,2491,2075128
,4,,"Single",1963,,,"Garage",9,9,9,16772,1514342
2484,4,4,"Single",2019,"ForcedAir","Central","Garage",9,9,9,15357,2798016
2950,3,3,"Single",1996,"ForcedAir",,"Garage",9,9,9,21937,2528036
875,1,1,"Condo",2019,,"Central","Garage",9,9,9,,979674
725,1,1,"Condo",1965,"Baseboard",,"Garage",9,9,9,6052,648641
1510,2,2,"Townhouse",1980,"ForcedAir","Central","Garage",9,9,9,7317,952235
2998,5,4,"Single",2019,,"Central","Garage",9,9,9,,1082260
2490,4,3,"Single",1972,"ForcedAir",,"Garage",9,9,9,3813,2195009
940,1,1,"Condo",2019,"ForcedAir","Central",,9,9,9,,1066304
1220,2,2,"Townhouse",1990,"ForcedAir",,"Garage",7,9,9,5620,1112802
1027,2,3,"Condo",2017,"ForcedAir","Central",,9,9,9,12232,1075032
2080,4,2,"Single",1939,"ForcedAir","Central","2 spaces",9,9,9,6595,1401988
2420,4,3,"Single",1966,"ForcedAir",,"Garage",,,,2901,1830130
2490,5,3,"Single",1951,"ForcedAir","Central","Garage",9,9,9,6128,1938053
2884,4,3,"Single",2019,"ForcedAir","Central","Garage",9,9,9,8912,2688011
3050,4,3,"Single",1955,"ForcedAir",,"2 spaces",9,9,9,6728,1700736
5574,6,5,"Single",1904,,,"2 spaces",9,9,10,27740,7358719
3560,4,4,"Single",1999,,,"4 spaces",9,9,10,9272,3666954
4205,3,6,"Single",2008,,,"2 spaces",9,9,10,31112,15558090
4020,5,5,"Single",1918,"ForcedAir",,"1 space",9,9,10,49045,7688142
5150,4,5,"Single",1957,,,"2 spaces",,,,54473,4446833
5488,5,6,"Single",1995,,,"2 spaces",9,9,10,70181,5785397
2430,3,2,"Single",1952,,,"3 spaces",9,9,10,9930,2949146
6120,6,6,"Single",1902,,,"4 spaces",9,9,10,83203,8635199
12352,6,7,"Single",,,,"5+ spaces",9,9,10,21113,14628254
2164,4,3,"Single",1982,,,"Garage",7,5,8,7082,638371
1607,3,2,"Single",1984,,,"Garage",8,5,8,4234,711006
2212,3,3,"Single",1984,"ForcedAir","Central","3 spaces",8,5,8,7332,729122
900,2,1,"Condo",1971,"ForcedAir",,"Garage",6,5,8,734,274071
2925,4,3,"Single",1984,,,"Garage",8,5,8,8569,765003
1409,3,3,"Condo",1984,,"Central","1 space",6,5,8,6940,562389
1087,2,1,"Condo",1984,,,,7,5,8,2762,311963
,3,,"Single",1989,,,"Garage",8,5,8,3784,592128
2912,4,4,"Single",1991,,"Central","Garage",6,5,8,8894,837281
1640,3,3,"Condo",1998,"ForcedAir","Central","2 spaces",6,5,8,3523,561062
1566,3,1,"Single",1947,"ForcedAir",,"1 space",6,5,8,550,502304
1409,3,3,"Condo",1984,,"Central","1 space",6,5,8,190,535157
,3,,"Condo",1983,,,"Garage",6,5,8,2365,438236
1906,3,2,"Single",1964,,,"Garage",6,5,8,5824,589000
768,2,1,"Single",1943,,,"Garage",6,5,8,1760,424359
2094,3,2,"Single",1988,"ForcedAir","Central","Garage",8,5,8,8033,664188
1119,2,2,"Condo",1977,,,,7,5,8,2972,290096
,4,,"Single",1975,,,"Garage",8,5,8,1283,597907
1197,3,2,"Condo",1972,,,,6,5,8,684,385093
2292,3,3,"Single",1989,,"Central","Garage",7,5,8,7492,730708
,4,,"Single",2007,,"Central","Garage",6,5,8,7321,739540
2866,4,3,"Single",1985,,,"Garage",8,5,8,5417,759005
,4,,"Single",1977,,,"Garage",7,5,8,1897,594274
900,2,1,"Condo",1968,,"Central","1 space",6,5,8,1673,309902
846,2,1,"Condo",1990,,,"Garage",6,5,8,1749,350465
660,1,1,"Condo",1971,,,,6,5,8,902,223775
968,2,2,"Condo",1990,"ForcedAir","Central","Garage",6,5,8,3140,356565
1162,3,2,"Single",1971,"ForcedAir","Central","Garage",7,5,8,5901,575000
,4,,"Single",2005,,"Central","Garage",8,5,8,12554,861576
1113,3,2,"Single",1971,,"Central","Garage",6,5,8,3936,598000
1053,3,2,"Condo",1983,,,"Garage",6,5,8,2430,375245
3640,8,8,"Multiple",1968,,,,6,5,8,,1243775
1050,3,1,"Single",1943,,,,6,5,8,395,426762
1602,3,3,"Single",1982,"ForcedAir","Central","Garage",7,5,8,3284,585000
2653,4,3,"Single",1977,,,"2 spaces",7,5,8,9463,808608
1409,3,3,"Condo",1984,,"Central","Garage",6,5,8,5973,538506
1224,2,3,"Condo",1982,"ForcedAir","Central","Garage",6,5,8,420,324649
1095,2,2,"Condo",1980,,"Central","Garage",7,5,8,4555,450002
,4,,"Single",1979,"ForcedAir","Central","Garage",6,5,8,6390,686612
,,,"Multiple",,,,,6,5,8,,914329
1190,2,2,"Condo",1984,,"Central","Garage",6,5,8,4811,545363
1303,2,1,"Condo",1932,"ForcedAir","Central","Garage",6,7,8,4717,898757
,2,,"Single",1906,"ForcedAir","Central",,6,7,8,10433,951913
2630,5,3,"Single",1968,"Baseboard",,"Garage",8,8,8,7102,1574305
